scsicmd
00	test unit ready
01	rezero unit
03	request sense
08	read
0a	write
0b	seek
0c	move
12	inquiry
15	mode select
16	reserve
17	release
18	copy
1a	mode sense
1b	start/stop unit
1c	receive diagnostics
1d	send diagnostics
1e	prevent/allow medium removal
25	read capacity
28	read
2a	write
2c	blank sector search
2d	written sector search
c0	disk eject
c2	read disk id
c3	sense alternate information
c4	recover disk warning
d3	request recovered status
d6	disk set
d7	disk release
busid
01	0
02	1
80	7
scsiident
80	no dis/reconnect-LUN 0
81	no dis/reconnect-LUN 1
82	no dis/reconnect-LUN 2
83	no dis/reconnect-LUN 3
84	no dis/reconnect-LUN 4
85	no dis/reconnect-LUN 5
86	no dis/reconnect-LUN 6
87	no dis/reconnect-LUN 7
c0	dis/reconnect-LUN 0
c1	dis/reconnect-LUN 1
c2	dis/reconnect-LUN 2
c3	dis/reconnect-LUN 3
c4	dis/reconnect-LUN 4
c5	dis/reconnect-LUN 5
c6	dis/reconnect-LUN 6
c7	dis/reconnect-LUN 7
cmesg
0	good
e0	test not done
ee	diagnostic could not be done
fe	drive not ready (no disk)
ff	not connected or power off
