nesd
00	no sense
01	invalid command
02	recovered error
03	illegal request
06	unit attention
07	parity error
08	message reject error
0a	copy aborted
10	ecc trouible occurred
11	time out error
12	controller error
13	SONY I/F II hardware/firmware error
14	scsi hardware/firmware error
20	command not terminated
21	drive interface parity error
22	loading trouble
23	focus trouble
24	tracking trouble
25	spindle trouble
26	slide trouible
27	skew trouble
28	head lead out
29	write modulation trouble
2a	under laser power
2b	over laser power
2f	drive error
30	drive power off
31	no disk in drive
32	drive not ready
38	disk already exists in drive
39	no disk in drive
3a	disk already exists in shelf
40	write warning
41	write error
42	disk error
43	cannot read disk id
44	write protect error 1
45	write protect error 2
46	disk warning
47	alternation trouble
50	specified address not found
51	address block not found
52	all address could not be read
53	data could not be read
54	uncorrectable read error
55	tracking error
60	no data in specified address
68	z-axis servo error
69	roter servo error
6a	hook servo error
6b	i/o shelf error
6c	drive 0 error
6d	drive 1 error
6e	shelf error
6f	carrier error
